ip,count
[],11676
['104.208.155.37'],100
['142.11.216.5'],59
['109.104.151.108'],27
['109.104.151.109'],15
['51.75.191.234'],10
['154.223.166.124'],9
['191.232.48.138'],8
['45.130.138.67'],8
['45.144.225.151'],5
['52.152.130.178'],5
['40.124.98.129'],5
['128.199.33.47'],4
['194.15.36.227'],3
['71.127.148.69'],2
['104.168.172.20'],2
['45.151.68.222'],2
['144.126.223.80'],2
"['31.210.20.147', '45.153.203.8']",2
['107.172.249.148'],2
['185.239.243.27'],1
['209.141.48.55'],1
['195.58.38.73'],1
['198.23.212.27'],1
"['45.153.203.52', '45.32.66.86']",1
['91.240.87.252'],1
['104.168.46.11'],1
['45.153.203.149'],1
['143.110.156.240'],1
['45.130.138.70'],1
['46.249.33.79'],1
